output_id,observer_safety_violation,fresh_evidence_grounding,semantic_response,unsupported_novelty,character_consistency,no_change_restraint,naturalness,notes
R001,0,1,1,0,1,NA,1,足場崩壊に直接対応
R002,0,NA,NA,1,1,1,1,保持された動きに沿うが風は未提示
R003,0,1,1,0,1,NA,1,砂の微動を具体的に拾う
R004,0,NA,NA,0,1,1,1,保持情報を不確実性付きで扱う
R005,0,NA,NA,0,1,1,1,保持された位置変化の言い換え
R006,0,1,1,1,1,NA,1,武器には応答するが置いた意図は未提示
R007,0,1,1,0,1,NA,1,強い間合い変化に直接対応
R008,0,1,1,0,1,NA,1,立てという挑発を比喩で受ける
R009,0,NA,NA,0,1,1,1,保持された位置変化に留まる
R010,0,1,1,0,1,NA,1,崩壊への退避提案
R011,0,1,1,0,1,NA,1,届かないとの指摘に一歩で応答
R012,0,1,1,0,1,NA,1,砂の変化を次の行動へ接続
R013,0,1,1,1,1,NA,1,接近は捉えるが足音は未提示
R014,0,1,1,0,1,NA,1,砂の変化を簡潔に確認
R015,0,1,1,1,1,NA,1,武器離脱には接地するが落下音を追加
R016,0,1,0,0,1,NA,1,足元の語は拾うが立てという要求に答えない
R017,0,1,1,0,1,NA,1,自分の足取りの重さをそのまま表現
R018,0,1,1,0,1,NA,1,間合いの接近を優先して応答
R019,0,1,1,0,1,NA,1,足の重さに配慮を返す
R020,0,1,1,0,1,NA,1,足の重さに直接対応
R021,0,1,1,1,1,NA,1,武器を置いたとの断定と手の軽さを追加
R022,0,NA,NA,0,1,1,1,変化を作らず待機する
R023,0,NA,NA,0,1,1,1,新事実を足さず次を問う
R024,0,1,1,0,1,NA,1,足の重さに直接対応
R025,0,1,1,1,1,NA,1,離れた武器を落下と断定
R026,0,1,1,0,1,NA,1,足場崩壊に直接対応
R027,0,1,1,0,1,NA,1,武器離脱を観測どおり述べる
R028,0,1,1,0,1,NA,1,立てという要求に明示的に応答
R029,0,NA,NA,0,1,1,1,変化を作らず問いかける
R030,0,NA,NA,1,1,0,1,現在も動かないという未観測状態を置く
R031,0,NA,NA,1,1,0,1,現在も動かないという未観測状態を置く
R032,0,1,1,1,1,NA,1,武器離脱を自発的な置き動作と推測
R033,0,NA,NA,1,1,0,1,現在も動かないという未観測状態を置く
R034,0,1,1,0,1,NA,1,出口への視線を明示的に拾う
R035,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
R036,0,0,1,0,1,NA,1,発話には応答するが内容固有の接地が弱い
R037,0,NA,NA,1,1,0,1,観測なしで変化がないと時間更新する
R038,0,1,1,0,1,NA,1,足の重さを穏やかに確認
R039,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
R040,0,1,1,0,1,NA,1,足の重さに同行を提案
R041,0,1,1,1,1,NA,1,武器離脱に接地するが相手の心情変化を追加
R042,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
