output_id,observer_safety_violation,fresh_evidence_grounding,semantic_response,unsupported_novelty,character_consistency,no_change_restraint,naturalness,notes
R001,0,1,1,0,1,NA,1,崩壊を直視するが平板
R002,0,NA,NA,1,1,0,1,風という未観測要素を足す
R003,0,1,1,0,1,NA,1,小さな砂を会話の鉤にする
R004,0,NA,NA,0,1,1,1,留保が慎重さに合う
R005,0,NA,NA,0,1,1,1,保持情報だけを静かに述べる
R006,0,1,1,1,1,NA,1,離れた武器を置いたと断定
R007,0,1,1,0,1,NA,1,接近を短く受け止める
R008,0,1,1,0,1,NA,1,挑発を暗さの比喩へ返す
R009,0,NA,NA,0,1,1,1,既知の位置変化に留まる
R010,0,1,1,0,1,NA,1,危機に優しさが乗る
R011,0,1,1,0,1,NA,1,挑発から即座に行動へ
R012,0,1,1,0,1,NA,1,砂を次の一手へつなぐ
R013,0,1,1,1,1,NA,1,接近を足音へ具体化しすぎる
R014,0,1,1,0,1,NA,1,簡潔だが展開は薄い
R015,0,1,1,1,1,NA,1,未観測の落下音を足す
R016,0,1,1,0,1,NA,1,挑戦を光の約束へ変える
R017,0,1,1,0,1,NA,1,自分の重さを素直に認める
R018,0,1,1,0,1,NA,1,間合いと足元を結ぶ
R019,0,1,0,1,1,NA,1,自分の重さを相手へ取り違える
R020,0,1,1,0,1,NA,1,短い自己認識として自然
R021,0,1,1,1,1,NA,1,手が軽くなったと意味を足す
R022,0,NA,NA,0,1,1,1,何もない場面で待てる
R023,0,NA,NA,0,1,1,1,自己反復から新事実を作らない
R024,0,1,1,0,1,NA,1,重さへの反応は明瞭
R025,0,1,1,0,1,NA,1,武器の変化をそのまま言う
R026,0,1,1,0,1,NA,1,正確だが実況的
R027,0,1,1,0,1,NA,1,見えた範囲に留める
R028,0,1,1,0,1,NA,1,挑発を相互関係へ返す
R029,0,NA,NA,0,1,1,1,空白を質問で保つ
R030,0,NA,NA,0,1,1,1,変化を作らず圧をかける
R031,0,NA,NA,0,1,1,1,火花らしい短い催促
R032,0,1,1,1,1,NA,1,離れた武器を置いたと扱う
R033,0,NA,NA,0,1,1,1,荒い口調も性格には合う
R034,0,1,1,0,1,NA,1,視線への反応は正確
R035,0,NA,NA,0,1,1,1,静止場面で自己位置を示す
R036,0,1,0,0,1,NA,1,聞いたが挑戦には答えない
R037,0,NA,NA,0,1,1,1,無変化を明示できる
R038,0,1,1,0,1,NA,1,身体感覚と光を結ぶ
R039,0,NA,NA,0,1,1,1,簡潔だが既視感が強い
R040,0,1,0,1,1,NA,1,自分の重さを相手へ移す
R041,0,1,1,0,1,NA,1,推測を問いに留める
R042,0,NA,NA,0,1,1,1,安全だが定型的
R043,0,1,0,1,1,NA,1,重い主体を相手と誤認する
R044,0,1,1,0,1,NA,1,届くの語を反転させる
R045,0,1,1,0,1,NA,1,挑発へ一歩で返す
R046,0,1,1,0,1,NA,1,行動予告として素直
R047,0,1,1,0,1,NA,1,最短で挑戦を受ける
R048,0,1,1,0,1,NA,1,強気さと応答が両立
R049,0,1,1,1,1,NA,1,接近を足音と断定する
R050,0,1,0,0,1,NA,1,呼びかけ確認で止まる
R051,0,NA,NA,0,1,1,1,待つ姿勢だけを示す
R052,0,0,0,0,1,NA,1,砂を捨てて汎用的な問いになる
R053,0,NA,NA,0,1,1,1,自己反復を継続意志に留める
R054,0,NA,NA,0,1,1,1,安全だが反復感が強い
R055,0,1,1,0,1,NA,1,挑発をさらに挑発で返す
R056,0,NA,NA,0,1,1,1,変化なしを短く保つ
R057,0,1,1,0,1,NA,1,危機と退避が自然につながる
R058,0,NA,NA,0,1,1,1,新情報を作らず続行を示す
R059,0,1,1,0,1,NA,1,試すというゲーム的な返し
R060,0,NA,NA,0,1,1,1,空白を不確かさで保つ
R061,0,1,1,1,1,NA,1,未観測の手の動きを詩化する
R062,0,NA,NA,1,1,0,1,存在しない相手の言葉を持ち出す
R063,0,1,1,0,1,NA,1,構えという語を活かす
R064,0,1,0,1,1,NA,1,自分の重さを相手へ誤配する
R065,0,1,1,0,1,NA,1,危機への穏やかな提案
R066,0,NA,NA,0,1,1,1,無情報でも存在だけ示す
R067,0,NA,NA,1,1,0,1,保持情報を今の変化として再演する
R068,0,NA,NA,0,1,1,1,見えなさを正直に言う
R069,0,1,1,1,1,NA,1,静かな足音を新たに作る
R070,0,1,1,0,1,NA,1,身体感覚に過不足がない
R071,0,NA,NA,0,1,1,1,汎用的だが新事実はない
R072,0,NA,NA,1,1,0,0,台詞でなく行動描写になる
R073,0,NA,NA,0,1,1,1,継続状態だけを言う
R074,0,1,1,0,1,NA,1,小さな視線を拾う
R075,0,1,1,0,1,NA,1,挑発への明快な応答
R076,0,1,1,0,1,NA,1,正確だが淡泊
R077,0,1,1,0,1,NA,1,直接的でぶれない
R078,0,1,1,0,1,NA,1,見えたものから問いを作る
R079,0,1,1,0,1,NA,1,危機で関係性が表に出る
R080,0,NA,NA,0,1,1,1,安全だが定型反復
R081,0,1,1,1,1,NA,1,未観測の音と意図を足す
R082,0,NA,NA,0,1,1,1,光の比喩で空白を埋める
R083,0,NA,NA,0,1,1,1,変化なしに留まる
R084,0,NA,NA,1,1,0,1,根拠なく一歩を新設する
R085,0,NA,NA,0,1,1,1,新規性はないが安全
R086,0,1,1,0,1,NA,1,挑発に実演を約束する
R087,0,1,1,0,1,NA,1,砂を逃さず短く言う
R088,0,NA,NA,0,1,1,1,提案として新事実を断定しない
R089,0,1,1,0,1,NA,1,視線から注意を自然に読む
R090,0,1,1,1,1,NA,1,未観測の落下音を中心にする
R091,0,NA,NA,1,1,0,1,理由の変化を根拠なく置く
R092,0,NA,NA,0,1,1,1,火花の存在感はある
R093,0,NA,NA,0,1,1,1,見守る意志だけを示す
R094,0,NA,NA,1,1,0,1,古い移動を今の一歩として扱う
R095,0,1,1,1,1,NA,1,小石と接近の因果を創作する
R096,0,NA,NA,0,1,1,1,安全だが同文反復
R097,0,1,1,0,1,NA,1,重さを疑問形で受け止める
R098,0,NA,NA,0,1,1,1,待機を静かに選ぶ
R099,0,1,1,0,1,NA,1,挑発を情報要求へ変える
R100,0,NA,NA,0,1,1,1,完全に定型化している
R101,0,NA,NA,0,1,1,1,無変化を明言する
R102,0,1,1,0,1,NA,1,危機への助言が自然
R103,0,1,1,0,1,NA,1,観測どおりだが実況的
R104,0,1,1,0,1,NA,1,最小限すぎて物語性が薄い
R105,0,1,1,0,1,NA,1,挑戦へのためらいが出る
R106,0,NA,NA,0,1,1,1,空白に存在だけを置く
R107,0,1,1,1,1,NA,1,長さの比較を観測外から足す
R108,0,1,1,0,1,NA,1,崩壊を揺れとして自然に表す
R109,0,NA,NA,0,1,1,1,慎重な待機に留まる
R110,0,1,1,1,1,NA,1,足音と比較を新設する
R111,0,1,1,1,1,NA,1,接近を足音へ置換する
R112,0,1,1,0,1,NA,1,強気な反撃で映える
R113,0,1,1,0,1,NA,1,小変化を正確に拾う
R114,0,1,1,0,1,NA,1,正確だが実況に近い
R115,0,1,0,0,1,NA,1,強い接近より小石を選ぶ
R116,0,NA,NA,0,1,1,1,静止を問いにして保つ
R117,0,1,1,0,1,NA,1,可能性を質問に留める
R118,0,1,1,0,1,NA,1,観測を簡潔に返す
R119,0,1,1,0,1,NA,1,挑戦に正面から応じる
R120,0,1,0,1,1,NA,1,自分の重さを相手への介助に変える
R121,0,1,1,0,1,NA,1,安全だが同じ実況になる
R122,0,1,1,1,1,NA,1,未観測の震えを作る
R123,0,1,1,1,1,NA,1,接近を足音として断定する
R124,0,1,1,0,1,NA,1,重さから無理をしない選択へ
R125,0,1,0,0,1,NA,1,接近を捨てて小さな音へ寄る
R126,0,1,1,1,1,NA,1,間合い変化を追加で断定する
R127,0,1,1,0,1,NA,1,視線から問いを二択で作る
R128,0,1,1,0,1,NA,1,視線への最短の応答
R129,0,0,0,0,1,NA,1,何をするかなく汎用的
R130,0,1,1,0,1,NA,1,小変化を行動の契機にする
R131,0,1,1,1,1,NA,1,未観測の聴覚へ変換する
R132,0,1,1,0,1,NA,1,挑発を踏み込みで返す
R133,0,NA,NA,1,1,0,1,観測にない一歩を持ち出す
R134,0,1,1,0,1,NA,1,視線の揺れとして詩的に拾う
R135,0,1,1,0,1,NA,1,砂から行動へつなぐ
R136,0,1,1,1,1,NA,1,出口の未観測の気配を創作する
R137,0,1,1,0,1,NA,1,挑発に目的と疑念を返す
R138,0,NA,NA,0,1,1,1,不確かさを保つ
R139,0,NA,NA,0,1,1,1,安全だが汎用的
R140,0,NA,NA,1,1,0,1,古い位置変化を今として言う
R141,0,1,1,0,1,NA,1,危機の明示に徹する
R142,0,1,1,0,1,NA,1,短く次へ促す
R143,0,1,1,0,1,NA,1,正確だが表現差が乏しい
R144,0,1,1,0,1,NA,1,視線を短く受け止める
