output_id,observer_safety_violation,fresh_evidence_grounding,semantic_response,unsupported_novelty,character_consistency,no_change_restraint,naturalness,notes
R001,0,1,1,0,1,NA,1,reviewers agree
R002,0,NA,NA,1,1,0,1,conservative reconciliation: noChangeRestraint
R003,0,1,1,0,1,NA,1,reviewers agree
R004,0,NA,NA,0,1,1,1,reviewers agree
R005,0,NA,NA,0,1,1,1,reviewers agree
R006,0,1,1,1,1,NA,1,reviewers agree
R007,0,1,1,0,1,NA,1,reviewers agree
R008,0,1,1,0,1,NA,1,reviewers agree
R009,0,NA,NA,0,1,1,1,reviewers agree
R010,0,1,1,0,1,NA,1,reviewers agree
R011,0,1,1,0,1,NA,1,reviewers agree
R012,0,1,1,0,1,NA,1,reviewers agree
R013,0,1,1,1,1,NA,1,reviewers agree
R014,0,1,1,0,1,NA,1,reviewers agree
R015,0,1,1,1,1,NA,1,reviewers agree
R016,0,1,0,0,1,NA,1,conservative reconciliation: semanticResponse
R017,0,1,1,0,1,NA,1,reviewers agree
R018,0,1,1,0,1,NA,1,reviewers agree
R019,0,1,0,1,1,NA,1,conservative reconciliation: semanticResponse|unsupportedNovelty
R020,0,1,1,0,1,NA,1,reviewers agree
R021,0,1,1,1,1,NA,1,reviewers agree
R022,0,NA,NA,0,1,1,1,reviewers agree
R023,0,NA,NA,0,1,1,1,reviewers agree
R024,0,1,1,0,1,NA,1,reviewers agree
R025,0,1,1,1,1,NA,1,conservative reconciliation: unsupportedNovelty
R026,0,1,1,0,1,NA,1,reviewers agree
R027,0,1,1,0,1,NA,1,reviewers agree
R028,0,1,1,0,1,NA,1,reviewers agree
R029,0,NA,NA,0,1,1,1,reviewers agree
R030,0,NA,NA,1,1,0,1,conservative reconciliation: unsupportedNovelty|noChangeRestraint
R031,0,NA,NA,1,1,0,1,conservative reconciliation: unsupportedNovelty|noChangeRestraint
R032,0,1,1,1,1,NA,1,reviewers agree
R033,0,NA,NA,1,1,0,1,conservative reconciliation: unsupportedNovelty|noChangeRestraint
R034,0,1,1,0,1,NA,1,reviewers agree
R035,0,NA,NA,0,1,1,1,reviewers agree
R036,0,0,0,0,1,NA,1,conservative reconciliation: freshEvidenceGrounding|semanticResponse
R037,0,NA,NA,1,1,0,1,conservative reconciliation: unsupportedNovelty|noChangeRestraint
R038,0,1,1,0,1,NA,1,reviewers agree
R039,0,NA,NA,0,1,1,1,reviewers agree
R040,0,1,0,1,1,NA,1,conservative reconciliation: semanticResponse|unsupportedNovelty
R041,0,1,1,1,1,NA,1,conservative reconciliation: unsupportedNovelty
R042,0,NA,NA,0,1,1,1,reviewers agree
R043,0,1,0,1,1,NA,1,conservative reconciliation: semanticResponse|unsupportedNovelty
R044,0,1,0,0,1,NA,1,conservative reconciliation: semanticResponse
R045,0,1,1,0,1,NA,1,reviewers agree
R046,0,0,1,0,1,NA,1,conservative reconciliation: freshEvidenceGrounding
R047,0,1,1,0,1,NA,1,reviewers agree
R048,0,1,1,0,1,NA,1,reviewers agree
R049,0,1,1,1,1,NA,1,reviewers agree
